Title,Order,Course
Access to Resources,1,Building a Digital Business
Introduction,2,Building a Digital Business
Block 1: Welcome to Digital Business,3,Building a Digital Business
Block 2: Building an Online Presence,4,Building a Digital Business
Block 3: Selling Online,5,Building a Digital Business
Block 4: Adapting Other Business Processes,6,Building a Digital Business
Block 5: What's Next,7,Building a Digital Business
Certificate,8,Building a Digital Business
Introduction (Seed of Power),1,Seed of Power Program: Micro & Small Business Growth Code
Block 1: Universe of Business & Value Proposition,2,Seed of Power Program: Micro & Small Business Growth Code
Block 2: Route to Market & Customer Acquisition,3,Seed of Power Program: Micro & Small Business Growth Code
Block 3: Business Money,4,Seed of Power Program: Micro & Small Business Growth Code
Block 4: Customer Journey,5,Seed of Power Program: Micro & Small Business Growth Code
Block 5: Sales Infrastructure,6,Seed of Power Program: Micro & Small Business Growth Code
Block 6: Digital Marketing Pillar,7,Seed of Power Program: Micro & Small Business Growth Code
Block 7: Business Performance & KPIs Review System,8,Seed of Power Program: Micro & Small Business Growth Code
Block 8: Goal Alignment — Attitude / Skill-Up / Mental Health,9,Seed of Power Program: Micro & Small Business Growth Code
Reflection & Action Planning,10,Seed of Power Program: Micro & Small Business Growth Code
Certificate (Seed of Power),11,Seed of Power Program: Micro & Small Business Growth Code
